"citation","title","doi","repurposed_medicine","published","editorial_notice_type_first","editorial_notice_date_first","editorial_notice_type_last","editorial_notice_date_last","editorial_notice_source"
"Davido et al., 2020","Hydroxychloroquine plus azithromycin: a potential interest in reducing in-hospital morbidity due to COVID-19 pneumonia (HI-ZY-COVID)?","10.1101/2020.05.05.20088757","HCQ",2020-05-11,"Retraction",2020-05-19,NA,NA,"10.1101/2020.05.05.20088757"
"Elgazzar et al., 2020 (version 1)","Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic","10.21203/rs.3.rs-100956/v1","IVM",2020-11-13,"Retraction",2021-07-15,NA,NA,"10.21203/rs.3.rs-100956/v4"
"Elgazzar et al., 2020 (version 2)","Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic","10.21203/rs.3.rs-100956/v2","IVM",2020-11-16,"Retraction",2021-07-15,NA,NA,"10.21203/rs.3.rs-100956/v4"
"Elgazzar et al., 2020 (version 3)","Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic","10.21203/rs.3.rs-100956/v3","IVM",2020-12-28,"Retraction",2021-07-15,NA,NA,"10.21203/rs.3.rs-100956/v4"
"Elgazzar et al., 2020 (version 4)","Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic","10.21203/rs.3.rs-100956/v4","IVM",2021-07-14,"Retraction",2021-07-15,NA,NA,"10.21203/rs.3.rs-100956/v4"
"Gautret et al., 2020","Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial","10.1016/j.ijantimicag.2020.105949","HCQ",2020-03-20,"Expression of Concern",2020-04-03,NA,NA,"https://www.isac.world/news-and-publications/official-isac-statement"
"Kim et al., 2020","Treatment Response to Hydroxychloroquine, Lopinavir–Ritonavir, and Antibiotics for Moderate COVID-19: A First Report on the Pharmacological Outcomes from South Korea","10.1101/2020.05.13.20094193","HCQ",2020-05-18,"Retraction",2020-06-14,NA,NA,"10.1101/2020.05.13.20094193"
"Kory, Meduri, Inglesias et al., 2021","Review of the Emerging Evidence Demonstrating the Efficacy of Ivermectin in the Prophylaxis and Treatment of COVID-19","10.31219/osf.io/wx3zn","IVM",2020-11-13,"Retraction",2021-03-02,NA,NA,"https://blog.frontiersin.org/2021/03/02/2-march-2021-media-statement/"
"Samaha et al., 2021","Effects of a Single Dose of Ivermectin on Viral and Clinical Outcomes in Asymptomatic SARS-CoV-2 Infected Subjects: A Pilot Clinical Trial in Lebanon","10.3390/v13060989","IVM",2021-05-27,"Retraction",2021-10-26,NA,NA,"10.3390/v13112154"
"Zaidi & Dehgani-Mobaraki, 2021","RETRACTED ARTICLE: The mechanisms of action of Ivermectin against SARS-CoV-2: An evidence-based clinical review article","10.1038/s41429-021-00430-5","IVM",2021-06-15,"Retraction",2021-09-27,NA,NA,"10.1038/s41429-021-00430-5"
"Bryant et al., 2021","Ivermectin for Prevention and Treatment of COVID-19 Infection","10.1097/MJT.0000000000001402","IVM",2021-06-19,"Expression of Concern",2022-02-07,NA,NA,"10.1097/MJT.0000000000001482"
"Kory, Meduri, Varon et al., 2021","Review of the Emerging Evidence Demonstrating the Efficacy of Ivermectin in the Prophylaxis and Treatment of COVID-19","10.1097/MJT.0000000000001377","IVM",2021-05-05,"Expression of Concern",2022-02-07,NA,NA,"10.1097/MJT.0000000000001481"
"Hill et al., 2021","Retracted: Meta-analysis of Randomized Trials of Ivermectin to Treat SARS-CoV-2 Infection","10.1093/ofid/ofab358","IVM",2021-07-06,"Expression of Concern",2021-08-09,"Retraction",2022-02-05,"10.1093/ofid/ofac056"
"Pott-Junior et al., 2021","RETRACTED: Use of ivermectin in the treatment of Covid-19: A pilot trial","10.1016/j.toxrep.2021.03.003","IVM",2021-03-10,"Expression of Concern",2022-12-17,"Retraction",2022-05-02,"10.1016/j.toxrep.2022.04.009"
"Merino et al., 2021","Ivermectin and the odds of hospitalization due to COVID-19: evidence from a quasi-experimental analysis based on a public intervention in Mexico City","10.31235/osf.io/r93g4","IVM",2021-05-04,"Retraction",2022-02-04,NA,NA,"10.31235/osf.io/r93g4"
